sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,health,absences,midterm
F,16,LE3,T,4,4,teacher,teacher,mother,1,2,0,yes,no,no,yes,yes,no,4,5,2,3,0,10
F,16,GT3,T,4,3,health,other,mother,1,2,0,yes,no,yes,yes,yes,no,4,3,5,2,2,14
F,16,GT3,T,2,3,other,other,mother,1,2,0,yes,no,yes,yes,no,no,4,4,3,4,4,12
F,17,GT3,T,1,1,other,other,mother,1,2,0,yes,no,no,yes,no,no,4,4,4,1,0,15
F,17,GT3,T,2,2,other,other,mother,1,1,0,yes,no,no,yes,yes,no,5,3,2,3,21,13
F,16,GT3,T,2,2,services,services,mother,2,4,0,yes,no,yes,yes,yes,no,5,3,5,5,6,13
F,17,GT3,T,3,4,at_home,services,mother,1,3,1,yes,yes,no,yes,yes,yes,4,4,3,5,14,9
F,16,GT3,A,3,1,services,other,mother,1,2,0,yes,no,no,yes,yes,no,2,3,3,4,2,11
F,16,GT3,T,4,3,teacher,other,mother,1,2,0,no,no,yes,yes,yes,yes,1,3,2,1,4,15
F,16,GT3,T,1,1,at_home,other,mother,2,1,0,yes,no,no,yes,no,no,4,3,2,5,2,13
F,17,GT3,T,4,3,teacher,other,mother,2,3,0,yes,no,yes,yes,yes,yes,4,4,2,4,0,12
F,19,GT3,T,3,3,other,other,other,1,4,0,yes,no,yes,yes,yes,no,4,3,3,3,4,12
M,17,LE3,T,4,4,services,other,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,5,3,15,12
F,16,GT3,A,2,2,other,other,mother,1,2,0,yes,no,no,yes,yes,no,3,3,4,4,0,13
M,18,GT3,T,2,2,services,other,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,5,10,11
F,17,LE3,T,4,4,services,other,mother,1,1,0,yes,no,no,yes,no,no,5,2,1,3,6,11
F,17,LE3,T,3,2,other,other,mother,2,2,0,no,no,no,yes,yes,no,4,4,4,1,2,16
F,17,GT3,T,4,3,other,other,mother,1,2,0,no,no,no,yes,yes,yes,3,4,5,1,16,9
M,18,LE3,T,3,3,services,health,father,1,2,0,yes,no,no,yes,yes,no,3,2,4,4,10,10
F,17,GT3,T,2,3,at_home,other,father,2,1,0,yes,no,no,yes,no,no,3,3,3,3,4,13
F,17,GT3,T,2,2,at_home,at_home,mother,1,3,0,yes,no,yes,yes,yes,no,4,3,3,4,0,12
F,17,GT3,T,2,1,at_home,services,mother,2,2,0,yes,no,yes,yes,yes,no,4,2,5,5,0,10
F,17,GT3,T,1,1,at_home,other,mother,1,3,0,yes,no,yes,yes,no,yes,4,3,4,5,12,12
F,16,GT3,T,2,3,services,teacher,mother,1,2,0,no,no,no,yes,yes,no,2,3,1,3,0,13
M,18,GT3,T,2,2,other,other,mother,2,2,3,yes,yes,no,yes,yes,no,3,3,3,4,9,9
F,16,GT3,T,4,4,teacher,services,mother,1,3,0,yes,no,yes,yes,yes,no,5,3,2,5,4,16
F,18,GT3,T,3,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,5,3,3,4,4,8
F,17,GT3,T,3,2,other,other,mother,1,2,0,no,no,yes,yes,yes,no,5,3,4,3,2,18
M,17,LE3,T,2,3,services,services,father,1,2,0,yes,no,no,yes,yes,no,5,3,3,3,0,11
M,18,LE3,T,2,1,at_home,other,mother,4,2,0,yes,no,yes,yes,yes,yes,4,3,2,3,2,10
F,17,GT3,A,2,1,other,other,mother,2,3,0,no,no,yes,yes,yes,yes,3,2,3,3,0,15
F,17,LE3,T,4,3,health,other,father,1,2,0,no,no,yes,yes,yes,yes,3,2,3,3,0,12
M,17,GT3,T,2,2,other,other,father,2,2,0,yes,no,yes,yes,yes,no,4,5,2,1,0,13
M,17,GT3,T,4,4,teacher,teacher,mother,1,2,0,yes,no,yes,yes,yes,yes,4,5,5,2,0,13
M,16,GT3,T,4,4,health,other,father,1,2,0,yes,no,yes,yes,yes,no,4,2,4,1,0,13
M,16,LE3,T,1,1,other,other,mother,2,2,0,yes,no,no,yes,yes,no,3,4,2,5,2,9
M,16,GT3,T,3,2,at_home,other,mother,2,3,0,no,no,yes,yes,yes,yes,5,3,3,2,0,12
M,17,LE3,T,2,2,other,other,father,1,2,0,no,no,yes,yes,yes,yes,4,4,2,4,0,16
F,16,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,yes,yes,yes,4,5,2,5,4,10
F,16,GT3,A,4,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,5,3,3,5,0,13
F,18,LE3,A,2,4,services,other,mother,2,2,1,yes,no,no,yes,yes,no,4,3,3,3,18,10
F,18,LE3,T,2,2,at_home,services,mother,1,2,1,yes,no,no,yes,yes,yes,5,3,1,5,16,8
F,18,GT3,T,3,3,other,other,mother,2,1,1,no,no,no,no,yes,no,4,1,1,3,14,7
M,18,GT3,T,2,2,other,at_home,other,1,1,1,yes,no,yes,no,yes,yes,4,4,3,1,26,8
M,17,GT3,T,4,4,teacher,teacher,mother,1,1,0,yes,no,yes,yes,yes,no,4,2,1,5,6,8
F,17,GT3,T,3,2,other,other,father,1,2,0,no,no,yes,yes,no,no,5,4,2,3,4,14
F,17,LE3,T,1,1,at_home,at_home,mother,1,3,0,yes,no,yes,yes,yes,yes,4,3,2,4,10,10
F,16,GT3,T,1,2,other,other,mother,1,1,0,no,no,no,no,yes,no,5,3,5,5,4,11
F,17,GT3,T,2,1,at_home,services,mother,3,2,0,no,no,yes,yes,no,no,2,1,1,3,2,13
F,17,LE3,A,1,4,other,other,other,4,1,1,yes,no,no,yes,yes,no,5,5,4,5,14,9
M,18,GT3,T,2,2,other,services,father,1,2,0,no,no,no,no,yes,no,5,5,4,2,16,7
F,17,LE3,A,2,2,other,other,mother,1,1,1,yes,no,no,no,yes,no,3,1,2,1,8,9
F,17,LE3,T,1,1,at_home,other,mother,2,3,0,no,no,yes,yes,yes,no,4,3,3,5,4,14
F,17,LE3,A,4,2,teacher,other,mother,1,2,0,yes,no,yes,yes,no,no,4,3,2,4,4,14
M,17,LE3,T,4,3,health,other,mother,2,2,0,no,no,yes,yes,yes,yes,2,5,5,5,8,15
M,17,LE3,A,4,4,teacher,other,mother,2,2,0,yes,no,no,yes,yes,no,3,3,3,4,0,12
M,16,LE3,T,4,3,teacher,other,mother,1,1,0,no,no,yes,yes,yes,no,5,4,5,3,7,14
M,16,GT3,T,4,4,services,services,mother,1,1,0,no,yes,yes,yes,yes,no,5,3,2,5,4,15
F,17,GT3,T,4,4,teacher,services,mother,1,2,0,yes,yes,no,yes,yes,yes,5,3,1,5,2,11
M,17,GT3,T,1,1,other,other,father,2,3,0,no,no,no,yes,yes,yes,4,3,3,1,2,14
F,17,GT3,T,3,3,services,other,mother,2,3,0,yes,no,no,yes,yes,yes,4,2,2,5,10,11
F,17,GT3,T,1,1,at_home,other,mother,1,2,0,no,no,no,yes,no,yes,4,3,2,4,10,9
F,18,GT3,T,2,1,other,other,other,2,3,0,yes,no,no,yes,yes,yes,4,4,4,3,10,10
M,16,GT3,T,2,1,other,other,mother,3,1,0,no,no,no,yes,yes,no,4,3,3,4,7,16
F,17,GT3,T,1,1,other,services,father,1,2,0,yes,no,no,yes,no,no,4,3,4,5,4,10
M,17,GT3,T,2,3,other,other,father,2,1,0,no,no,no,yes,yes,no,5,2,2,2,2,12
M,22,GT3,T,3,1,services,services,mother,1,1,3,no,no,no,no,yes,yes,5,4,5,1,12,8
M,18,LE3,T,3,3,other,services,mother,1,2,0,yes,no,no,yes,yes,yes,4,3,3,5,8,9
M,16,GT3,T,0,2,other,other,mother,1,1,0,no,no,no,yes,yes,no,4,3,2,5,0,12
M,18,GT3,T,3,2,services,other,mother,2,1,0,no,no,no,no,yes,no,4,4,5,5,8,8
M,16,GT3,T,3,3,at_home,other,other,3,2,1,yes,no,no,yes,yes,no,5,3,3,2,4,11
M,18,GT3,T,2,1,services,services,mother,1,1,2,no,no,no,no,yes,no,3,2,5,5,4,8
M,16,GT3,T,2,1,other,other,mother,2,1,0,no,no,yes,yes,no,no,3,3,2,3,2,13
M,17,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,yes,yes,no,4,4,2,5,0,12
M,17,LE3,T,1,1,health,other,mother,2,1,1,yes,no,yes,yes,yes,no,4,4,4,5,0,10
F,18,LE3,A,2,1,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,4,3,4,5,2,12
F,17,LE3,T,4,2,teacher,services,mother,1,4,0,yes,no,yes,yes,yes,no,4,2,3,4,2,15
F,19,GT3,T,2,2,services,services,mother,1,2,0,yes,no,no,yes,yes,no,4,3,3,5,0,10
M,18,LE3,T,2,1,services,other,mother,3,2,1,no,no,yes,no,yes,no,4,4,5,5,4,10
F,17,GT3,T,4,2,other,other,mother,1,3,0,yes,no,yes,yes,yes,no,4,3,4,5,2,12
F,18,LE3,T,1,1,other,at_home,mother,1,3,0,yes,no,no,yes,no,no,4,4,3,3,4,12
F,18,GT3,T,2,2,other,other,mother,1,2,0,no,no,no,yes,no,no,3,2,3,5,4,11
M,19,LE3,A,4,3,services,at_home,mother,1,2,0,yes,no,no,yes,yes,no,4,3,1,1,4,13
M,18,GT3,T,2,1,other,other,mother,1,2,0,no,no,yes,yes,yes,no,5,2,4,4,2,16
M,17,GT3,T,2,2,other,services,mother,2,1,0,no,no,no,no,no,no,5,2,2,4,0,10
F,17,LE3,T,2,2,services,services,father,1,4,0,no,no,yes,yes,yes,yes,3,4,1,2,2,11
F,20,GT3,T,2,1,other,other,other,2,2,0,yes,yes,yes,no,yes,yes,1,2,3,2,8,12
F,18,GT3,T,4,3,services,other,father,1,2,0,yes,no,no,yes,yes,yes,3,1,2,2,2,15
M,18,GT3,T,4,3,teacher,other,mother,1,2,0,yes,no,no,yes,yes,no,4,3,2,3,2,10
M,18,GT3,T,3,2,other,other,mother,1,3,0,no,no,yes,yes,no,no,5,3,2,3,2,11
F,17,GT3,T,3,3,other,other,mother,1,3,0,no,no,yes,yes,no,no,3,2,3,4,2,12
F,18,GT3,T,2,2,at_home,services,mother,1,3,0,yes,no,yes,yes,yes,yes,4,3,3,3,0,12
M,17,GT3,T,2,2,other,other,father,2,1,0,no,no,no,no,yes,no,4,4,4,4,8,8
M,18,LE3,A,3,4,other,other,mother,2,2,0,yes,no,yes,yes,yes,no,4,2,5,1,6,16
M,17,GT3,T,3,1,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,5,4,4,5,0,11
F,18,GT3,T,4,4,teacher,other,mother,2,2,0,no,no,yes,yes,yes,no,4,3,4,4,8,11
M,18,GT3,T,4,2,health,other,father,1,2,0,yes,no,yes,yes,yes,yes,5,4,5,5,4,12
F,18,GT3,T,2,1,other,other,mother,2,2,0,yes,no,no,no,yes,yes,4,3,5,3,12,9
F,19,GT3,T,3,3,other,services,other,1,2,0,yes,no,yes,yes,yes,no,4,3,5,5,16,12
F,18,GT3,T,2,3,other,services,father,1,4,0,yes,no,yes,yes,yes,yes,4,5,5,2,10,16
F,18,LE3,T,1,1,other,other,mother,2,2,0,yes,no,no,yes,no,no,4,4,3,3,2,13
M,17,GT3,T,1,2,at_home,at_home,mother,1,2,0,yes,no,yes,yes,no,yes,3,5,2,1,2,17
F,18,GT3,T,2,1,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,4,2,5,1,8,14
F,17,GT3,T,2,4,at_home,health,mother,2,2,0,yes,no,no,yes,yes,yes,4,3,3,1,6,16
F,17,LE3,T,2,2,services,other,mother,2,2,0,yes,no,no,yes,yes,yes,4,4,4,5,6,12
F,18,GT3,A,3,2,other,services,mother,2,2,0,no,no,no,no,yes,yes,4,1,1,5,15,9
M,18,GT3,T,4,4,teacher,services,mother,2,1,0,no,no,yes,yes,yes,no,3,2,4,3,6,12
F,18,GT3,T,4,4,health,health,father,1,2,1,yes,no,yes,yes,yes,yes,2,4,4,4,2,12
F,17,GT3,T,2,2,other,services,father,3,3,0,yes,no,no,yes,yes,yes,4,2,3,1,8,15
F,19,GT3,T,3,2,services,services,father,1,2,1,yes,no,no,no,yes,no,3,3,3,3,0,8
M,18,LE3,T,4,3,teacher,services,mother,2,1,0,no,no,yes,yes,yes,no,4,2,3,1,0,10
M,18,GT3,T,1,2,at_home,other,other,2,1,0,no,no,no,no,yes,no,3,4,4,4,10,10
M,17,LE3,A,4,1,services,other,mother,2,1,0,no,no,yes,yes,yes,yes,4,5,4,5,22,11
M,17,LE3,A,3,2,teacher,services,mother,1,1,0,no,no,no,yes,yes,no,4,4,4,3,18,13
F,18,LE3,T,1,1,at_home,other,mother,2,4,0,yes,no,yes,yes,no,no,5,2,2,3,2,17
F,18,GT3,T,1,1,other,other,mother,2,2,0,no,no,yes,yes,yes,no,5,4,4,4,0,13
F,17,GT3,T,2,2,other,other,mother,1,2,0,yes,no,no,yes,yes,no,5,4,5,5,12,12
F,18,GT3,T,2,1,other,other,mother,2,2,0,no,no,yes,yes,yes,yes,4,3,1,5,10,13
M,17,GT3,T,1,1,other,other,father,1,2,0,no,no,no,yes,yes,no,4,3,3,4,0,12
F,18,GT3,T,2,2,at_home,at_home,mother,1,3,0,yes,no,no,yes,yes,no,4,3,3,2,0,18
F,17,GT3,T,1,1,services,teacher,mother,1,3,0,yes,no,no,yes,yes,no,4,3,3,3,0,13
M,18,GT3,T,2,1,services,services,mother,1,3,0,no,no,yes,yes,yes,no,4,2,4,2,0,15
M,18,LE3,A,4,4,teacher,teacher,mother,1,2,0,yes,no,yes,yes,yes,no,5,4,3,2,0,17
M,18,GT3,T,4,2,teacher,other,mother,1,2,0,yes,no,yes,yes,yes,yes,4,3,2,5,2,16
F,17,GT3,T,4,3,health,services,mother,1,3,0,yes,no,no,yes,yes,no,4,2,2,3,0,18
F,17,LE3,T,3,1,services,other,mother,2,4,0,yes,no,no,yes,no,no,3,1,2,3,0,19
M,18,LE3,T,3,2,services,other,mother,2,3,0,yes,no,yes,yes,yes,no,5,4,2,4,0,15
M,17,GT3,T,3,3,health,other,mother,1,1,0,yes,no,no,yes,yes,no,4,4,3,5,0,15
F,19,GT3,T,4,4,health,other,other,2,2,0,yes,no,yes,yes,yes,no,2,3,4,2,2,13
F,18,LE3,T,4,3,other,other,other,2,2,0,yes,no,no,yes,yes,yes,4,4,5,2,0,14
F,18,GT3,T,4,3,other,other,father,1,4,0,yes,no,no,yes,yes,no,4,3,3,3,0,17
M,18,LE3,T,4,4,teacher,teacher,mother,1,1,0,yes,no,no,yes,yes,yes,1,4,2,1,0,18
F,18,LE3,A,4,4,health,other,mother,1,2,0,yes,yes,no,yes,yes,yes,4,2,4,4,0,15
M,17,LE3,T,4,4,other,teacher,father,2,1,0,no,no,no,yes,yes,no,4,1,1,5,0,13
F,17,GT3,T,4,4,services,services,mother,2,3,0,yes,no,yes,yes,yes,no,5,3,4,5,0,7
F,17,GT3,T,4,2,other,other,mother,2,3,0,yes,no,no,yes,yes,no,4,3,3,3,0,16
F,17,GT3,T,3,2,health,health,father,1,4,0,yes,no,yes,yes,yes,no,5,2,2,5,0,18
M,19,LE3,T,2,1,at_home,services,mother,2,3,1,no,no,yes,yes,yes,yes,4,3,1,5,0,10
M,20,GT3,A,3,2,services,other,other,1,1,2,no,no,yes,yes,no,no,5,5,3,5,0,15
M,19,GT3,T,3,3,other,services,father,1,2,0,no,no,yes,yes,no,yes,4,5,3,5,0,10
F,18,GT3,T,1,4,other,teacher,mother,1,2,0,yes,no,no,yes,no,yes,3,4,4,5,2,10
F,18,GT3,T,2,1,services,other,mother,2,2,0,yes,no,yes,yes,yes,no,5,3,3,1,2,12
F,17,GT3,T,2,3,other,other,father,2,2,0,no,no,yes,yes,yes,yes,4,2,1,3,2,12
F,17,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,yes,no,4,4,4,5,2,16
F,18,GT3,T,4,3,other,other,mother,1,3,0,yes,no,yes,yes,yes,yes,4,3,4,5,2,15
F,18,LE3,T,4,3,health,services,mother,2,1,0,yes,no,no,yes,yes,no,3,2,4,1,8,12
F,17,GT3,T,3,4,at_home,services,father,1,3,0,yes,no,yes,yes,yes,no,4,3,4,5,2,15
F,18,GT3,T,3,3,at_home,other,father,1,2,0,yes,no,no,yes,yes,no,4,1,4,3,8,12
M,19,GT3,T,4,2,health,other,mother,2,2,0,yes,no,yes,yes,yes,yes,5,4,4,1,9,10
F,18,GT3,T,4,4,teacher,other,mother,1,2,0,yes,no,no,yes,yes,no,4,4,4,5,0,11
F,18,GT3,T,3,4,other,other,mother,1,1,0,yes,no,yes,yes,yes,yes,5,4,4,1,4,12
F,17,GT3,T,4,4,health,health,mother,1,1,0,no,no,yes,yes,yes,no,5,3,4,5,2,15
F,17,GT3,A,4,3,services,services,mother,1,2,0,yes,no,no,yes,yes,yes,5,2,2,5,14,14
F,17,LE3,A,3,3,services,other,mother,1,2,0,yes,no,no,yes,yes,no,5,3,3,5,0,12
F,17,LE3,T,2,1,other,other,father,1,2,0,no,no,yes,yes,yes,no,4,2,3,2,2,12
M,18,LE3,T,4,4,other,other,father,1,1,0,yes,no,no,yes,yes,no,4,2,5,5,2,9
F,19,GT3,T,1,1,other,other,other,3,3,0,no,no,yes,no,no,yes,1,5,5,5,12,10
F,19,LE3,A,1,1,other,other,other,3,2,2,yes,no,no,yes,yes,yes,5,3,4,4,2,8
F,18,GT3,T,2,2,other,other,mother,1,1,0,yes,no,yes,yes,yes,yes,4,3,5,5,2,10
F,17,GT3,T,2,2,other,other,mother,1,2,0,yes,no,no,yes,no,yes,4,2,2,3,4,13
F,17,LE3,T,2,2,services,services,mother,1,3,0,yes,no,yes,yes,yes,no,3,3,2,3,0,11
F,17,GT3,T,3,1,services,services,father,1,3,0,yes,no,no,yes,yes,no,3,4,3,5,0,18
F,17,LE3,T,0,2,at_home,at_home,father,2,3,0,no,no,no,yes,yes,no,3,3,3,2,0,14
F,18,GT3,T,1,1,other,other,mother,2,3,0,no,no,yes,yes,yes,no,4,5,5,2,0,14
M,18,GT3,T,4,4,other,other,mother,1,3,0,no,no,yes,yes,yes,no,4,3,3,3,0,14
M,17,GT3,T,3,3,other,services,mother,1,1,0,no,no,yes,yes,yes,no,4,3,5,5,0,18
M,17,GT3,T,2,2,services,other,mother,4,1,0,yes,no,no,yes,yes,no,4,4,5,4,2,10
F,17,GT3,T,4,4,teacher,services,mother,1,3,0,yes,no,yes,yes,yes,no,5,4,4,4,0,12
F,17,GT3,T,4,4,teacher,teacher,mother,2,3,0,yes,no,no,yes,yes,yes,4,3,3,4,4,14
F,17,GT3,T,3,3,at_home,other,mother,1,1,0,yes,yes,yes,yes,yes,no,4,2,5,5,2,12
M,18,LE3,T,2,2,other,other,mother,1,4,0,yes,yes,yes,yes,yes,no,4,5,5,5,0,11
M,19,GT3,T,3,2,at_home,services,other,1,1,0,yes,no,no,yes,no,yes,5,3,4,5,0,10
F,18,GT3,T,2,2,at_home,other,mother,4,2,0,no,no,yes,yes,no,yes,4,2,5,2,2,9
F,17,GT3,T,2,4,at_home,other,father,1,3,0,yes,no,no,yes,yes,yes,4,4,3,5,0,15
M,18,GT3,T,2,2,other,other,mother,1,1,0,no,no,no,yes,yes,no,5,4,2,5,6,14
F,18,GT3,T,3,3,services,services,mother,1,2,0,no,no,yes,yes,yes,no,5,3,4,4,8,11
F,18,LE3,T,2,2,other,other,other,1,2,0,no,no,yes,yes,yes,yes,4,3,3,2,0,9
F,18,GT3,T,2,2,at_home,other,mother,2,4,0,no,no,yes,yes,no,no,4,4,4,4,6,13
F,17,GT3,T,3,4,services,other,mother,1,3,0,no,no,no,yes,yes,no,4,4,5,5,8,13
F,17,GT3,T,3,2,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,4,3,2,2,0,13
F,18,LE3,T,3,3,services,services,mother,1,4,0,yes,no,no,yes,yes,no,5,3,3,1,4,14
F,17,GT3,A,3,2,other,other,mother,1,2,0,yes,no,no,yes,yes,no,4,3,3,2,0,14
M,18,GT3,T,4,4,teacher,services,father,1,2,0,yes,no,yes,yes,yes,no,4,3,3,2,0,12
M,18,LE3,T,3,4,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,4,3,3,5,6,16
F,17,GT3,A,2,2,at_home,at_home,father,1,2,0,yes,no,no,yes,yes,yes,3,3,1,4,18,12
F,18,GT3,T,2,3,at_home,other,mother,1,3,0,yes,no,no,yes,yes,no,4,3,3,3,0,12
F,18,GT3,T,3,2,other,services,mother,1,3,0,no,no,no,yes,yes,yes,5,4,3,1,4,16
M,18,GT3,T,4,3,teacher,services,mother,1,3,0,no,no,no,yes,yes,yes,5,3,2,4,4,14
M,18,GT3,T,4,3,teacher,other,mother,1,3,0,yes,no,no,yes,yes,yes,5,4,5,5,0,13
F,17,GT3,T,4,3,health,other,mother,1,3,0,yes,no,yes,yes,yes,yes,4,4,3,4,0,12
F,17,GT3,T,2,1,services,other,mother,2,2,0,yes,no,yes,yes,yes,yes,4,3,4,1,10,15
F,17,GT3,T,2,1,services,other,mother,1,2,0,yes,no,yes,yes,yes,no,4,3,5,4,4,16
F,19,LE3,A,2,3,at_home,other,other,2,1,1,no,no,no,no,yes,no,2,2,3,5,16,11
F,17,GT3,T,3,1,other,at_home,mother,1,1,1,yes,yes,no,yes,yes,yes,4,1,2,3,6,13
F,21,LE3,T,4,4,other,other,other,1,3,2,no,yes,yes,yes,yes,no,3,3,2,5,0,12
M,18,LE3,T,2,2,services,services,mother,1,2,0,yes,no,yes,no,yes,no,4,4,4,3,11,11
M,18,LE3,A,3,4,other,other,other,1,2,0,no,no,yes,yes,yes,yes,4,3,5,2,9,14
F,17,GT3,T,2,2,services,services,mother,1,2,0,yes,no,yes,yes,yes,no,4,3,4,4,0,17
M,17,LE3,A,4,4,health,other,mother,1,3,0,yes,no,no,yes,yes,no,4,4,2,4,2,15
F,18,LE3,T,4,2,teacher,other,mother,1,2,0,yes,no,yes,yes,yes,no,4,2,2,3,0,17
M,21,LE3,T,1,1,at_home,other,other,2,2,2,yes,no,yes,no,yes,yes,5,3,3,4,21,10
F,20,GT3,T,1,1,other,other,other,2,3,0,no,no,no,yes,yes,yes,3,2,2,3,8,15
F,19,GT3,T,4,4,teacher,other,other,1,1,1,yes,no,no,yes,yes,yes,3,2,5,5,5,10
M,17,LE3,A,3,2,other,other,mother,1,2,0,yes,no,no,yes,yes,no,4,4,4,5,10,18
F,18,GT3,T,3,2,at_home,other,father,1,3,0,yes,no,no,yes,yes,yes,4,3,4,2,5,17
M,18,GT3,T,2,3,other,services,father,1,1,0,no,no,no,yes,yes,no,3,1,3,4,13,14
M,19,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,4,10,11
F,18,LE3,A,2,2,services,other,mother,2,2,0,yes,no,no,yes,yes,no,4,1,4,4,10,17
F,20,GT3,T,1,0,other,other,mother,2,1,1,no,no,no,yes,yes,yes,5,3,1,5,5,10
F,18,GT3,T,3,2,services,other,mother,1,2,0,yes,no,yes,yes,yes,yes,3,1,2,1,4,13
F,16,GT3,T,1,3,at_home,other,father,2,1,0,yes,no,no,no,yes,yes,4,3,3,5,11,11
F,16,GT3,T,2,2,other,other,mother,2,2,0,yes,no,yes,yes,yes,no,4,4,4,5,0,12
F,15,GT3,T,1,1,at_home,services,mother,1,1,1,yes,no,no,yes,no,yes,4,1,3,2,6,10
F,15,GT3,T,3,3,at_home,other,mother,2,1,0,yes,no,no,yes,yes,no,5,4,4,5,4,10
F,16,GT3,T,2,3,at_home,services,mother,2,2,0,no,no,no,yes,no,no,4,5,2,5,0,17
F,15,LE3,T,2,1,at_home,other,mother,2,1,0,no,no,no,no,no,no,1,3,4,1,0,8
M,16,LE3,A,4,4,at_home,other,mother,1,2,0,yes,no,no,yes,no,no,5,3,2,2,5,11
